Probability,RiskLevel
0.024020407,Low Risk
0.0022391896,Low Risk
0.14894934,Low Risk
0.06428904,Low Risk
0.42769206,Medium Risk
0.18242237,Low Risk
0.427111,Medium Risk
0.028258864,Low Risk
0.6506937,Medium Risk
0.20702505,Low Risk
0.24659176,Low Risk
0.88749516,High Risk
0.56946796,Medium Risk
0.61457056,Medium Risk
0.34567344,Medium Risk
0.74450433,High Risk
0.7782562,High Risk
0.062049646,Low Risk
0.02761644,Low Risk
0.0044928547,Low Risk
0.011159263,Low Risk
0.030058332,Low Risk
0.1051034,Low Risk
0.01832447,Low Risk
0.06165492,Low Risk
0.053187918,Low Risk
0.033888478,Low Risk
0.3317379,Medium Risk
0.98513633,High Risk
0.06938673,Low Risk
0.38947242,Medium Risk
0.7301815,High Risk
0.270585,Low Risk
0.0038675258,Low Risk
0.0075247306,Low Risk
0.44365743,Medium Risk
0.046001267,Low Risk
0.49528018,Medium Risk
0.34025767,Medium Risk
0.87010056,High Risk
0.40113458,Medium Risk
0.0024989091,Low Risk
0.15647857,Low Risk
0.060490817,Low Risk
0.5709216,Medium Risk
0.168253,Low Risk
0.02949068,Low Risk
0.08309507,Low Risk
0.25023544,Low Risk
0.5730377,Medium Risk
0.009982534,Low Risk
0.27405393,Low Risk
0.71276665,High Risk
0.63944787,Medium Risk
0.1378985,Low Risk
0.5973331,Medium Risk
0.19339734,Low Risk
0.2921181,Low Risk
0.008619886,Low Risk
0.036345247,Low Risk
0.054927547,Low Risk
0.34660652,Medium Risk
0.20516416,Low Risk
0.022173433,Low Risk
0.11332482,Low Risk
0.6921624,Medium Risk
0.015428413,Low Risk
0.09681416,Low Risk
0.5033192,Medium Risk
0.52118236,Medium Risk
0.008367806,Low Risk
0.009775389,Low Risk
0.41563255,Medium Risk
0.015857471,Low Risk
0.40504217,Medium Risk
0.7733624,High Risk
0.07922292,Low Risk
0.14460325,Low Risk
0.068227366,Low Risk
0.51931524,Medium Risk
0.050279845,Low Risk
0.7772836,High Risk
0.15583746,Low Risk
0.0068737706,Low Risk
0.066994086,Low Risk
0.7300008,High Risk
0.7200459,High Risk
0.22773802,Low Risk
0.73092616,High Risk
0.3065272,Medium Risk
0.013531989,Low Risk
0.9634425,High Risk
0.8771165,High Risk
0.15183178,Low Risk
0.36753762,Medium Risk
0.20322357,Low Risk
0.64358723,Medium Risk
0.887785,High Risk
0.49038532,Medium Risk
0.06647719,Low Risk
0.19959421,Low Risk
0.6354759,Medium Risk
0.853516,High Risk
0.95627457,High Risk
0.01817073,Low Risk
0.024797168,Low Risk
0.51319635,Medium Risk
0.021374278,Low Risk
0.025030134,Low Risk
0.08004075,Low Risk
0.052671663,Low Risk
0.39173734,Medium Risk
0.0148593625,Low Risk
0.03432605,Low Risk
0.30245703,Medium Risk
0.27811688,Low Risk
0.6284175,Medium Risk
0.23681167,Low Risk
0.18649365,Low Risk
0.0021393276,Low Risk
0.30697343,Medium Risk
0.69710547,Medium Risk
0.055995688,Low Risk
0.6259734,Medium Risk
0.01610054,Low Risk
0.18873453,Low Risk
0.65585583,Medium Risk
0.84290284,High Risk
0.0033395407,Low Risk
0.312159,Medium Risk
0.17540394,Low Risk
0.017705116,Low Risk
0.6715297,Medium Risk
0.8539355,High Risk
0.29679906,Low Risk
0.9343773,High Risk
0.111474834,Low Risk
0.6381481,Medium Risk
0.17973204,Low Risk
0.478143,Medium Risk
0.031833496,Low Risk
0.63497204,Medium Risk
0.69376934,Medium Risk
0.2387101,Low Risk
0.09168193,Low Risk
0.7488709,High Risk
0.020772148,Low Risk
0.64145243,Medium Risk
0.06663587,Low Risk
0.008854559,Low Risk
0.05827227,Low Risk
0.045608137,Low Risk
0.3806677,Medium Risk
0.59793264,Medium Risk
0.035592627,Low Risk
0.02622931,Low Risk
0.050565425,Low Risk
0.0023764647,Low Risk
0.22226682,Low Risk
0.5346478,Medium Risk
0.014552399,Low Risk
0.9032317,High Risk
0.24632733,Low Risk
0.18231758,Low Risk
0.085012436,Low Risk
0.18487062,Low Risk
0.27463964,Low Risk
0.7359053,High Risk
0.48642945,Medium Risk
0.05292945,Low Risk
0.12848036,Low Risk
0.032244075,Low Risk
0.061132334,Low Risk
0.5186795,Medium Risk
0.073528334,Low Risk
0.5243105,Medium Risk
0.61669034,Medium Risk
0.40421018,Medium Risk
0.5299808,Medium Risk
0.614389,Medium Risk
0.068681665,Low Risk
0.3814726,Medium Risk
0.014981807,Low Risk
0.1650978,Low Risk
0.8041352,High Risk
0.013909003,Low Risk
0.010678775,Low Risk
0.5680224,Medium Risk
0.071232185,Low Risk
0.024539923,Low Risk
0.20103577,Low Risk
0.0019713673,Low Risk
0.0043587885,Low Risk
0.39197344,Medium Risk
0.07867492,Low Risk
0.018538862,Low Risk
0.008091384,Low Risk
0.0038014755,Low Risk
0.9776349,High Risk
0.13339756,Low Risk
0.68573594,Medium Risk
0.9260779,High Risk
0.06850404,Low Risk
0.013781651,Low Risk
0.3741719,Medium Risk
0.114437856,Low Risk
0.49787754,Medium Risk
0.13480315,Low Risk
0.07380358,Low Risk
0.08521855,Low Risk
0.13015129,Low Risk
0.0012923176,Low Risk
0.26343545,Low Risk
0.20968585,Low Risk
0.47752857,Medium Risk
0.04396719,Low Risk
0.70376146,High Risk
0.902781,High Risk
0.056338433,Low Risk
0.12906319,Low Risk
0.333262,Medium Risk
0.11212252,Low Risk
0.5524792,Medium Risk
0.2123549,Low Risk
0.11387756,Low Risk
0.007080876,Low Risk
0.61532134,Medium Risk
0.8239452,High Risk
0.8247851,High Risk
0.49210322,Medium Risk
0.3931798,Medium Risk
0.19323125,Low Risk
0.078646824,Low Risk
0.1660487,Low Risk
0.16820449,Low Risk
0.025999576,Low Risk
0.013986281,Low Risk
0.13727552,Low Risk
0.6317142,Medium Risk
0.0072500203,Low Risk
0.86447287,High Risk
0.15336965,Low Risk
0.17267813,Low Risk
0.38174814,Medium Risk
0.60122395,Medium Risk
0.005813066,Low Risk
0.79611325,High Risk
0.015894469,Low Risk
0.10018505,Low Risk
0.61979777,Medium Risk
0.011993138,Low Risk
0.13699704,Low Risk
0.059595134,Low Risk
0.016720673,Low Risk
0.05042284,Low Risk
0.004277788,Low Risk
0.82136226,High Risk
0.014450406,Low Risk
0.32835376,Medium Risk
0.16043131,Low Risk
0.21538521,Low Risk
0.09058879,Low Risk
0.13721743,Low Risk
0.055751394,Low Risk
0.5001012,Medium Risk
0.93457264,High Risk
0.013790759,Low Risk
0.44774336,Medium Risk
0.43229383,Medium Risk
0.66568065,Medium Risk
0.30928275,Medium Risk
0.034911197,Low Risk
0.09145393,Low Risk
0.6947955,Medium Risk
0.82489604,High Risk
0.020027086,Low Risk
0.4879727,Medium Risk
0.07062496,Low Risk
0.027978536,Low Risk
0.30891263,Medium Risk
0.10408275,Low Risk
0.008928127,Low Risk
0.68454987,Medium Risk
0.6634323,Medium Risk
0.5072234,Medium Risk
0.003664828,Low Risk
0.0025204073,Low Risk
0.013911344,Low Risk
0.398931,Medium Risk
0.08655963,Low Risk
0.12832686,Low Risk
0.077488646,Low Risk
0.9159645,High Risk
0.16287844,Low Risk
0.011426292,Low Risk
0.060999215,Low Risk
0.51150507,Medium Risk
0.13449398,Low Risk
0.44164646,Medium Risk
0.02256949,Low Risk
0.22706604,Low Risk
0.24724534,Low Risk
0.31143412,Medium Risk
0.055842903,Low Risk
0.018461116,Low Risk
0.38270426,Medium Risk
0.55903435,Medium Risk
0.8742827,High Risk
0.14170234,Low Risk
0.13255917,Low Risk
0.2833661,Low Risk
0.75593555,High Risk
0.004190631,Low Risk
0.35698178,Medium Risk
0.0037626585,Low Risk
0.0053385952,Low Risk
0.75027347,High Risk
0.012535042,Low Risk
0.30173323,Medium Risk
0.8531256,High Risk
0.0048258593,Low Risk
0.0021720147,Low Risk
0.047299143,Low Risk
0.09557215,Low Risk
0.25284123,Low Risk
0.11005677,Low Risk
0.028036365,Low Risk
0.18690698,Low Risk
0.15832748,Low Risk
0.03925441,Low Risk
0.1462465,Low Risk
0.03569816,Low Risk
0.0018420632,Low Risk
0.17418422,Low Risk
0.41852534,Medium Risk
0.36910287,Medium Risk
0.2646555,Low Risk
0.55022717,Medium Risk
0.6268031,Medium Risk
0.005526177,Low Risk
0.73822117,High Risk
0.7670981,High Risk
0.010866777,Low Risk
0.015550668,Low Risk
0.0037252412,Low Risk
0.7759811,High Risk
0.26828876,Low Risk
0.41958657,Medium Risk
0.5094666,Medium Risk
0.11585876,Low Risk
0.6958721,Medium Risk
0.005262722,Low Risk
0.86283165,High Risk
0.71354216,High Risk
0.32652244,Medium Risk
0.009142788,Low Risk
0.31426898,Medium Risk
0.019117706,Low Risk
0.35780805,Medium Risk
0.49970025,Medium Risk
0.0019788756,Low Risk
0.086737975,Low Risk
0.05521517,Low Risk
0.041332614,Low Risk
0.039488986,Low Risk
0.26515082,Low Risk
0.016360965,Low Risk
0.93377864,High Risk
0.022611246,Low Risk
0.07537097,Low Risk
0.070816375,Low Risk
0.588444,Medium Risk
0.12906024,Low Risk
0.06541157,Low Risk
0.29187503,Low Risk
0.5386943,Medium Risk
0.027418865,Low Risk
0.13398612,Low Risk
0.17958471,Low Risk
0.18669727,Low Risk
0.7101118,High Risk
0.14914182,Low Risk
0.374861,Medium Risk
0.31944188,Medium Risk
0.5596785,Medium Risk
0.13658248,Low Risk
0.01007335,Low Risk
0.43602255,Medium Risk
0.08221213,Low Risk
0.40423846,Medium Risk
0.9645607,High Risk
0.21687345,Low Risk
0.11017742,Low Risk
0.08478891,Low Risk
0.008684176,Low Risk
0.45801887,Medium Risk
0.5820006,Medium Risk
0.07076059,Low Risk
0.09446084,Low Risk
0.9384339,High Risk
0.24532291,Low Risk
0.7072701,High Risk
0.13896972,Low Risk
0.02510683,Low Risk
0.088431425,Low Risk
0.7725014,High Risk
0.0015369619,Low Risk
0.0715546,Low Risk
0.036536016,Low Risk
0.34765282,Medium Risk
0.056721818,Low Risk
0.0053698933,Low Risk
0.67380047,Medium Risk
0.61286545,Medium Risk
0.8503733,High Risk
0.088523954,Low Risk
0.64934796,Medium Risk
0.29985407,Low Risk
0.4733301,Medium Risk
0.5652783,Medium Risk
0.26490015,Low Risk
0.33461672,Medium Risk
0.2759326,Low Risk
0.8613877,High Risk
0.87019074,High Risk
0.7446719,High Risk
0.55772126,Medium Risk
0.035377413,Low Risk
0.7444076,High Risk
0.5720635,Medium Risk
0.85421306,High Risk
0.005293972,Low Risk
0.54678,Medium Risk
0.07925992,Low Risk
0.09146191,Low Risk
0.012876232,Low Risk
0.018636778,Low Risk
0.008744016,Low Risk
0.5977916,Medium Risk
0.0018877321,Low Risk
0.0038183029,Low Risk
0.023105936,Low Risk
0.023794562,Low Risk
0.91898024,High Risk
0.07073047,Low Risk
0.04027807,Low Risk
0.50674623,Medium Risk
0.100904405,Low Risk
0.35016316,Medium Risk
0.2509217,Low Risk
0.76392424,High Risk
0.89999086,High Risk
0.18085304,Low Risk
0.015706155,Low Risk
0.0041092914,Low Risk
0.44880342,Medium Risk
0.029311622,Low Risk
0.14185604,Low Risk
0.8328323,High Risk
0.0065729213,Low Risk
0.92907715,High Risk
0.9593633,High Risk
0.009413346,Low Risk
0.11163978,Low Risk
0.092339195,Low Risk
0.18704733,Low Risk
0.008196623,Low Risk
0.2654951,Low Risk
0.11771258,Low Risk
0.07683354,Low Risk
0.35482383,Medium Risk
0.0405125,Low Risk
0.15010762,Low Risk
0.004499403,Low Risk
0.0018387275,Low Risk
0.97403276,High Risk
0.7201916,High Risk
0.038190342,Low Risk
0.8397048,High Risk
0.4606063,Medium Risk
0.0015320494,Low Risk
0.0139687555,Low Risk
0.25314802,Low Risk
0.01266402,Low Risk
0.9524075,High Risk
0.3527102,Medium Risk
0.9622536,High Risk
0.8289446,High Risk
0.18420295,Low Risk
0.32061964,Medium Risk
0.021410644,Low Risk
0.891578,High Risk
0.11043926,Low Risk
0.01328871,Low Risk
0.0027481029,Low Risk
0.14615825,Low Risk
0.30049658,Medium Risk
0.014814331,Low Risk
0.8245094,High Risk
0.01144525,Low Risk
0.038186416,Low Risk
0.05626263,Low Risk
0.45903102,Medium Risk
0.20629427,Low Risk
0.95169383,High Risk
0.7436951,High Risk
0.06555098,Low Risk
0.30471477,Medium Risk
0.28546527,Low Risk
0.055296015,Low Risk
0.6079864,Medium Risk
0.9389783,High Risk
0.0021358237,Low Risk
0.040776867,Low Risk
0.16619985,Low Risk
0.18745883,Low Risk
0.0045044567,Low Risk
0.16374871,Low Risk
0.052581586,Low Risk
0.0030640273,Low Risk
0.8355411,High Risk
0.002076474,Low Risk
0.054047283,Low Risk
0.4541611,Medium Risk
0.07566384,Low Risk
0.579754,Medium Risk
0.15628378,Low Risk
0.77269065,High Risk
0.034942273,Low Risk
0.18572246,Low Risk
0.16769275,Low Risk
0.69021124,Medium Risk
0.008111313,Low Risk
0.06401047,Low Risk
0.1717156,Low Risk
0.7377466,High Risk
0.06822931,Low Risk
0.003653707,Low Risk
0.03181435,Low Risk
0.046406157,Low Risk
0.15915672,Low Risk
0.56065893,Medium Risk
0.6419889,Medium Risk
0.9028186,High Risk
0.0042164167,Low Risk
0.7312901,High Risk
0.5073239,Medium Risk
0.05971882,Low Risk
0.117105655,Low Risk
0.042453084,Low Risk
0.85502225,High Risk
0.0065291612,Low Risk
0.19296652,Low Risk
0.013787762,Low Risk
0.06880049,Low Risk
0.060898278,Low Risk
0.037562676,Low Risk
0.6263485,Medium Risk
0.06682465,Low Risk
0.025670933,Low Risk
0.014145909,Low Risk
0.33365658,Medium Risk
0.01813419,Low Risk
0.19766918,Low Risk
0.6984279,Medium Risk
0.0012366305,Low Risk
0.019620033,Low Risk
0.88049203,High Risk
0.69945765,Medium Risk
0.76993436,High Risk
0.8166006,High Risk
0.44419536,Medium Risk
0.13383389,Low Risk
0.3088736,Medium Risk
0.16918956,Low Risk
0.42527357,Medium Risk
0.07741905,Low Risk
0.023354195,Low Risk
0.005388765,Low Risk
0.07835175,Low Risk
0.7270701,High Risk
0.04759699,Low Risk
0.73421293,High Risk
0.51781327,Medium Risk
0.006257878,Low Risk
0.8809921,High Risk
0.39721918,Medium Risk
0.24035415,Low Risk
0.22767843,Low Risk
0.008452262,Low Risk
0.9518373,High Risk
0.7031537,High Risk
0.87877524,High Risk
0.10513165,Low Risk
0.20991138,Low Risk
0.023612006,Low Risk
0.014414364,Low Risk
0.9765421,High Risk
0.75015324,High Risk
0.5872815,Medium Risk
0.8660092,High Risk
0.09878057,Low Risk
0.2412838,Low Risk
0.93503964,High Risk
0.0014355076,Low Risk
0.010402456,Low Risk
0.8932607,High Risk
0.017606674,Low Risk
0.008903356,Low Risk
0.105207354,Low Risk
0.433508,Medium Risk
0.044998378,Low Risk
0.017449098,Low Risk
0.46601668,Medium Risk
0.33493784,Medium Risk
0.7437762,High Risk
0.019191718,Low Risk
0.6415275,Medium Risk
0.038964875,Low Risk
0.9395183,High Risk
0.5545833,Medium Risk
0.67419666,Medium Risk
0.7838138,High Risk
0.7054671,High Risk
0.021957304,Low Risk
0.14937653,Low Risk
0.009426392,Low Risk
0.44830367,Medium Risk
0.97036743,High Risk
0.062286433,Low Risk
0.27919564,Low Risk
0.8020295,High Risk
0.8848687,High Risk
0.49442032,Medium Risk
0.15586928,Low Risk
0.1029135,Low Risk
0.022529043,Low Risk
0.0290841,Low Risk
0.020620575,Low Risk
0.013986486,Low Risk
0.34199917,Medium Risk
0.0076525053,Low Risk
0.0093719065,Low Risk
0.24940585,Low Risk
0.25114188,Low Risk
0.9733742,High Risk
0.09897482,Low Risk
0.09953204,Low Risk
0.10273493,Low Risk
0.016969647,Low Risk
0.002194189,Low Risk
0.79495513,High Risk
0.01761471,Low Risk
0.011702288,Low Risk
0.8767595,High Risk
0.78003854,High Risk
0.6467183,Medium Risk
0.0035771688,Low Risk
0.55873257,Medium Risk
0.0021354966,Low Risk
0.14111957,Low Risk
0.013567707,Low Risk
0.0031636686,Low Risk
0.28164107,Low Risk
0.14705518,Low Risk
0.042914227,Low Risk
0.8607971,High Risk
0.12662593,Low Risk
0.23792064,Low Risk
0.012002939,Low Risk
0.935114,High Risk
0.88806003,High Risk
0.011553536,Low Risk
0.9528192,High Risk
0.7461979,High Risk
0.6704173,Medium Risk
0.012467353,Low Risk
0.3476089,Medium Risk
0.6105923,Medium Risk
0.18878423,Low Risk
0.11730413,Low Risk
0.001957056,Low Risk
0.18117067,Low Risk
0.53788483,Medium Risk
0.030889854,Low Risk
0.8873707,High Risk
0.232787,Low Risk
0.78527576,High Risk
0.24188127,Low Risk
0.04980098,Low Risk
0.7654155,High Risk
0.2822533,Low Risk
0.07879739,Low Risk
0.03369344,Low Risk
0.008340116,Low Risk
0.018601947,Low Risk
0.7188054,High Risk
0.025798835,Low Risk
0.041272234,Low Risk
0.70859534,High Risk
0.030235685,Low Risk
0.5050912,Medium Risk
0.009809942,Low Risk
0.18318331,Low Risk
0.8715701,High Risk
0.020901194,Low Risk
0.06370674,Low Risk
0.003619303,Low Risk
0.02841743,Low Risk
0.50072926,Medium Risk
0.022022963,Low Risk
0.54436177,Medium Risk
0.7201916,High Risk
0.36506253,Medium Risk
0.6137304,Medium Risk
0.23732975,Low Risk
0.055390812,Low Risk
0.41534913,Medium Risk
0.012222447,Low Risk
0.007680907,Low Risk
0.6853352,Medium Risk
0.38810554,Medium Risk
0.39183766,Medium Risk
0.5889175,Medium Risk
0.021090614,Low Risk
0.1301713,Low Risk
0.0032006148,Low Risk
0.57072365,Medium Risk
0.21005574,Low Risk
0.9735154,High Risk
0.17408602,Low Risk
0.32459277,Medium Risk
0.2819017,Low Risk
0.13099758,Low Risk
0.09133715,Low Risk
0.18769063,Low Risk
0.007187031,Low Risk
0.8921352,High Risk
0.6866182,Medium Risk
0.6795672,Medium Risk
0.19562294,Low Risk
0.3523075,Medium Risk
0.031791344,Low Risk
0.034444463,Low Risk
0.30692336,Medium Risk
0.40230525,Medium Risk
0.9672056,High Risk
0.38414478,Medium Risk
0.14274989,Low Risk
0.49360862,Medium Risk
0.20718014,Low Risk
0.61509365,Medium Risk
0.024019424,Low Risk
0.5650058,Medium Risk
0.005333326,Low Risk
0.65754324,Medium Risk
0.05456554,Low Risk
0.9600339,High Risk
0.04333752,Low Risk
0.048941717,Low Risk
0.18023023,Low Risk
0.72499985,High Risk
0.005897168,Low Risk
0.69891024,Medium Risk
0.6535346,Medium Risk
0.07212637,Low Risk
0.12871498,Low Risk
0.058702357,Low Risk
0.9578242,High Risk
0.006923652,Low Risk
0.41426092,Medium Risk
0.54191625,Medium Risk
0.16637719,Low Risk
0.15118387,Low Risk
0.25035912,Low Risk
0.08303088,Low Risk
0.07788918,Low Risk
0.8441193,High Risk
0.7218544,High Risk
0.050276976,Low Risk
0.21600544,Low Risk
0.008201001,Low Risk
0.66464406,Medium Risk
0.03484203,Low Risk
0.5509118,Medium Risk
0.7858451,High Risk
0.36651635,Medium Risk
0.015335215,Low Risk
0.04255626,Low Risk
0.20808882,Low Risk
0.06583743,Low Risk
0.006610882,Low Risk
0.39150417,Medium Risk
0.54612535,Medium Risk
0.018336598,Low Risk
0.5605255,Medium Risk
0.0034700506,Low Risk
0.97057414,High Risk
0.00425702,Low Risk
0.133098,Low Risk
0.7940249,High Risk
0.005101892,Low Risk
0.17375082,Low Risk
0.072276294,Low Risk
0.9429513,High Risk
0.90261865,High Risk
0.6632676,Medium Risk
0.8127382,High Risk
0.025845153,Low Risk
0.9192396,High Risk
0.015392266,Low Risk
0.71138334,High Risk
0.01141206,Low Risk
0.27370828,Low Risk
0.41210166,Medium Risk
0.7184365,High Risk
0.21173257,Low Risk
0.6892106,Medium Risk
0.024079015,Low Risk
0.24517816,Low Risk
0.36376622,Medium Risk
0.012420246,Low Risk
0.008321899,Low Risk
0.6177129,Medium Risk
0.4104684,Medium Risk
0.005953414,Low Risk
0.008083454,Low Risk
0.04648623,Low Risk
0.3656606,Medium Risk
0.38287225,Medium Risk
0.8797233,High Risk
0.08085846,Low Risk
0.120802514,Low Risk
0.5515723,Medium Risk
0.15800835,Low Risk
0.32569632,Medium Risk
0.7998832,High Risk
0.7603795,High Risk
0.24306019,Low Risk
0.12823835,Low Risk
0.009398475,Low Risk
0.0036588626,Low Risk
0.05632538,Low Risk
0.019848008,Low Risk
0.82905376,High Risk
0.15592158,Low Risk
0.5249967,Medium Risk
0.12908016,Low Risk
0.012487642,Low Risk
0.10265402,Low Risk
0.47567067,Medium Risk
0.32780126,Medium Risk
0.9603105,High Risk
0.4726347,Medium Risk
0.5475658,Medium Risk
0.013988438,Low Risk
0.6211589,Medium Risk
0.20521256,Low Risk
0.3788108,Medium Risk
0.049494173,Low Risk
0.016179964,Low Risk
0.036736667,Low Risk
0.1699446,Low Risk
0.03810705,Low Risk
0.7276165,High Risk
0.0014374192,Low Risk
0.018870967,Low Risk
0.35777807,Medium Risk
0.014780789,Low Risk
0.25532654,Low Risk
0.008960174,Low Risk
0.14274617,Low Risk
0.10516494,Low Risk
0.06241654,Low Risk
0.37109774,Medium Risk
0.2410445,Low Risk
0.7538744,High Risk
0.015750492,Low Risk
0.0013521939,Low Risk
0.3502593,Medium Risk
0.11554974,Low Risk
0.57808083,Medium Risk
0.0047794003,Low Risk
0.017731564,Low Risk
0.4864027,Medium Risk
0.2710538,Low Risk
0.0851269,Low Risk
0.02175366,Low Risk
0.009143842,Low Risk
0.17966469,Low Risk
0.3286598,Medium Risk
0.9283533,High Risk
0.28017417,Low Risk
0.14998028,Low Risk
0.0041556875,Low Risk
0.35220373,Medium Risk
0.070135824,Low Risk
0.81935084,High Risk
0.089570135,Low Risk
0.2119177,Low Risk
0.0072181616,Low Risk
0.0055447035,Low Risk
0.2215507,Low Risk
0.06650618,Low Risk
0.06703993,Low Risk
0.87491435,High Risk
0.30366606,Medium Risk
0.04743829,Low Risk
0.041608367,Low Risk
0.09965277,Low Risk
0.7777733,High Risk
0.022306917,Low Risk
0.009028975,Low Risk
0.80569184,High Risk
0.009862467,Low Risk
0.63395506,Medium Risk
0.00726952,Low Risk
0.0027766055,Low Risk
0.5003108,Medium Risk
0.015079729,Low Risk
0.3450845,Medium Risk
0.38256904,Medium Risk
0.2001459,Low Risk
0.68256104,Medium Risk
0.84204745,High Risk
0.015596257,Low Risk
0.027940093,Low Risk
0.2812526,Low Risk
0.1797036,Low Risk
0.19664647,Low Risk
0.45666245,Medium Risk
0.7719352,High Risk
0.19087918,Low Risk
0.10524713,Low Risk
0.021901788,Low Risk
0.77080834,High Risk
0.22184962,Low Risk
0.06900075,Low Risk
0.058416497,Low Risk
0.78528476,High Risk
0.9340891,High Risk
0.50487196,Medium Risk
0.2869455,Low Risk
0.0015475884,Low Risk
0.0068364698,Low Risk
0.8813935,High Risk
0.016287215,Low Risk
0.9611553,High Risk
0.20513198,Low Risk
0.8286563,High Risk
0.8592446,High Risk
0.6924213,Medium Risk
0.073553056,Low Risk
0.022855056,Low Risk
0.7127992,High Risk
0.03129987,Low Risk
0.011369392,Low Risk
0.2710257,Low Risk
0.6595781,Medium Risk
0.50288486,Medium Risk
0.015802387,Low Risk
0.6691098,Medium Risk
0.0427451,Low Risk
0.40837228,Medium Risk
0.19508873,Low Risk
0.08790495,Low Risk
0.96980906,High Risk
0.09522302,Low Risk
0.010468236,Low Risk
0.53118616,Medium Risk
0.15584487,Low Risk
0.012544985,Low Risk
0.021231517,Low Risk
0.9426073,High Risk
0.7813468,High Risk
0.67198515,Medium Risk
0.637947,Medium Risk
0.4114605,Medium Risk
0.002932356,Low Risk
0.015593182,Low Risk
0.74862045,High Risk
0.0059474367,Low Risk
0.8025826,High Risk
0.47213188,Medium Risk
0.8255806,High Risk
0.008350557,Low Risk
0.060427245,Low Risk
0.008394358,Low Risk
0.013414869,Low Risk
0.0974668,Low Risk
0.87000793,High Risk
0.008801965,Low Risk
0.4712932,Medium Risk
0.009177277,Low Risk
0.46267894,Medium Risk
0.7859222,High Risk
0.65845776,Medium Risk
0.22747242,Low Risk
0.07042233,Low Risk
0.0060939193,Low Risk
0.006242439,Low Risk
0.012622352,Low Risk
0.018056126,Low Risk
0.523219,Medium Risk
0.0947261,Low Risk
0.57299525,Medium Risk
0.4411213,Medium Risk
0.49699607,Medium Risk
0.39938787,Medium Risk
0.6745279,Medium Risk
